iteration,gradient_boosting_train_top1,gradient_boosting_train_logLoss,gradient_boosting_validation_top1,gradient_boosting_validation_logLoss,gradient_boosting_hard_validation_top1,gradient_boosting_hard_validation_logLoss,gradient_boosting_test_top1,gradient_boosting_test_logLoss,ensemble_train_top1,ensemble_train_logLoss,ensemble_validation_top1,ensemble_validation_logLoss,ensemble_hard_validation_top1,ensemble_hard_validation_logLoss,ensemble_test_top1,ensemble_test_logLoss
1,0.958,2.16314058351456,0.924,2.2071582680845316,0.88,2.2766283094244004,0.924,2.2052378842527514,0.99675,1.2232184496612553,0.99,1.2562768629533911,0.9818181818181818,1.3059208597927765,0.986,1.2471780829300965
2,0.96625,1.8217280345304772,0.936,1.8761523385674927,0.9,1.9583591137318241,0.933,1.8750829486934804,0.99625,1.104163700852839,0.988,1.1399640372690119,0.9781818181818182,1.1939421214633503,0.986,1.13116898508433
3,0.970625,1.5825874976061334,0.944,1.6426362678258883,0.9090909090909091,1.7325171685175822,0.943,1.6438951854968822,0.9955,1.004626458085585,0.986,1.0424440231327083,0.9745454545454545,1.0998581938537642,0.984,1.0345425483592314
4,0.972,1.3991657326256606,0.948,1.4652497397332214,0.9127272727272727,1.5618158528274417,0.944,1.4645499980641736,0.995125,0.9188971807544589,0.985,0.958983525733986,0.9727272727272728,1.0197518879597538,0.983,0.9511286544478187
5,0.9745,1.2445995915167998,0.95,1.3150382907125635,0.9181818181818182,1.4165821547636592,0.949,1.3164270881026077,0.99425,0.8410929872967428,0.985,0.8831752751134048,0.9727272727272728,0.9471609760517553,0.98,0.876507101743148
6,0.9785,1.1145965246457223,0.959,1.1889624739406703,0.9327272727272727,1.2934319770205536,0.953,1.1905371361165804,0.994,0.7714512622594599,0.985,0.8153799868226591,0.9727272727272728,0.8816842155206384,0.981,0.8093710733228328
7,0.979875,1.0041003110758557,0.96,1.081463929608301,0.9363636363636364,1.1865863542514488,0.956,1.0827883352155963,0.99425,0.7091784280972027,0.985,0.7551749371713401,0.9727272727272728,0.8230554471472875,0.982,0.7491304296257881
8,0.981125,0.908380789693323,0.961,0.9884805636817224,0.9381818181818182,1.0953711713647225,0.956,0.9903109351114062,0.993875,0.652833882664305,0.985,0.7003171805250358,0.9727272727272728,0.7698613077069281,0.983,0.6947729033917622
9,0.9825,0.8256994305030495,0.961,0.908536986264608,0.9363636363636364,1.0165579416276238,0.957,0.9103372915616487,0.994,0.602517498357861,0.986,0.6515177657410826,0.9745454545454545,0.7223922361868563,0.984,0.6463816238669172
10,0.982875,0.7512793752300638,0.961,0.8348465488792169,0.9381818181818182,0.9423887431080981,0.96,0.8382480281541214,0.99375,0.5561653400919135,0.986,0.6062156545179194,0.9745454545454545,0.6779631427983582,0.984,0.6018695242689277
11,0.98375,0.6854842662520501,0.963,0.7711864146477522,0.94,0.8793318203916645,0.96,0.774281504191075,0.993625,0.5140408183203393,0.986,0.5653769213904658,0.9745454545454545,0.6380809701699802,0.984,0.5613217084005905
