binIndex,min,max,count,accuracy,avgConfidence
0,0.0,0.08333333333333333,0,0.0,0.0
1,0.08333333333333333,0.16666666666666666,0,0.0,0.0
2,0.16666666666666666,0.25,0,0.0,0.0
3,0.25,0.3333333333333333,1,0.0,0.2590191498373968
4,0.3333333333333333,0.4166666666666667,3,0.6666666666666666,0.3587990099902894
5,0.4166666666666667,0.5,6,0.3333333333333333,0.46627201649796685
6,0.5,0.5833333333333334,4,0.25,0.5578328270556074
7,0.5833333333333334,0.6666666666666666,7,0.5714285714285714,0.6122811990419459
8,0.6666666666666666,0.75,6,0.8333333333333334,0.7131725199934676
9,0.75,0.8333333333333334,10,0.9,0.8111884179373275
10,0.8333333333333334,0.9166666666666666,37,1.0,0.8788177867860281
11,0.9166666666666666,1.0,926,1.0,0.9943046525367906
