split,model,sampleCount,top1,top3,logLoss,brier,ece
test,logistic,1000,0.984,0.997,0.10807583879548657,0.038879713540979854,0.06961057075037741
test,randomForest,1000,0.985,1.0,0.06475688585445616,0.029369125956545738,0.02692112748002248
test,gradientBoosting,1000,0.979,0.999,0.053500773197158645,0.028402094856957674,0.008830268836575504
test,ensemble,1000,0.982,1.0,0.04818919754388388,0.025150677379592784,0.009905204003554095
baseline_validation,logistic,1000,0.985,0.999,0.10611851275380892,0.03695214985964089,0.06659168763813707
baseline_validation,randomForest,1000,0.989,1.0,0.0678922077890827,0.028700665591423653,0.03717769965434192
baseline_validation,gradientBoosting,1000,0.985,0.998,0.042158814572292196,0.019146718091582544,0.007362020271626419
baseline_validation,ensemble,1000,0.986,1.0,0.03893039941922231,0.017381808219217778,0.017033283935641963
hard_validation,logistic,550,0.9763636363636363,0.9981818181818182,0.1316071104810439,0.05061743038655113,0.0696600605960323
hard_validation,randomForest,550,0.98,1.0,0.11785404919161149,0.050929357887612874,0.06248365842182355
hard_validation,gradientBoosting,550,0.9727272727272728,0.9963636363636363,0.07587237913037491,0.034662072394133374,0.0135092808499951
hard_validation,ensemble,550,0.9745454545454545,1.0,0.06854475854238869,0.03137104213398858,0.02882327504204226
