iteration,gradient_boosting_train_top1,gradient_boosting_train_logLoss,gradient_boosting_validation_top1,gradient_boosting_validation_logLoss,gradient_boosting_hard_validation_top1,gradient_boosting_hard_validation_logLoss,gradient_boosting_test_top1,gradient_boosting_test_logLoss,ensemble_train_top1,ensemble_train_logLoss,ensemble_validation_top1,ensemble_validation_logLoss,ensemble_hard_validation_top1,ensemble_hard_validation_logLoss,ensemble_test_top1,ensemble_test_logLoss
1,0.948625,2.1724735710437293,0.922,2.2208153653332103,0.8727272727272727,2.296644191018462,0.921,2.2052937703001003,0.9965,1.2163039882642828,0.99,1.2521786406355853,0.9818181818181818,1.303511318434054,0.983,1.2453860273925448
2,0.962875,1.8308020893264385,0.944,1.8876035953261288,0.9090909090909091,1.9742599515717327,0.934,1.8688780091969457,0.995625,1.0955198706599099,0.989,1.1345870531073787,0.98,1.1903876483884908,0.983,1.125617771993415
3,0.969,1.587139331017516,0.944,1.651421148729754,0.9090909090909091,1.7456941193963842,0.941,1.6329678747422258,0.995125,0.9935886109480079,0.988,1.035368874255841,0.9781818181818182,1.0951294068145139,0.982,1.0257753888561008
4,0.9725,1.4020450359170236,0.953,1.4712012125697769,0.9236363636363636,1.570881983268407,0.953,1.4520964988279765,0.99525,0.9062618993918191,0.987,0.9505403538612613,0.9763636363636363,1.0138394423427464,0.983,0.9401595043491098
5,0.976625,1.2489912885748027,0.961,1.322904975794652,0.9363636363636364,1.4282757409240707,0.955,1.3024603845399105,0.99475,0.8282188422239144,0.988,0.8750858958054166,0.9781818181818182,0.9421584771140343,0.982,0.8638835828355764
6,0.97875,1.1189744679289568,0.963,1.1968228230270936,0.9381818181818182,1.3052295374140073,0.956,1.1773050754913332,0.995125,0.7580606866782834,0.986,0.8072449984653098,0.9745454545454545,0.877420158578243,0.981,0.795803362163885
7,0.981125,1.0078380876785535,0.965,1.0862802807282277,0.9418181818181818,1.1964360484331176,0.958,1.0694846785764471,0.995125,0.6949115306646757,0.985,0.7453818656446599,0.9727272727272728,0.8179629109011683,0.979,0.7341835469039235
8,0.982125,0.9121065707093681,0.967,0.9921964740160082,0.9436363636363636,1.1035804700968044,0.959,0.9761802796482191,0.994875,0.638236437268623,0.987,0.6900089296365063,0.9763636363636363,0.7644540604977235,0.98,0.6793820187932458
9,0.983375,0.8305675191494893,0.968,0.9129645512822204,0.9454545454545454,1.026181580159542,0.96,0.8963547059449458,0.995,0.5880284953466673,0.989,0.6413432973311891,0.98,0.7177494221714018,0.98,0.63050941233003
10,0.984875,0.7575780825065302,0.968,0.8423478822608726,0.9454545454545454,0.9563155760961765,0.961,0.8257006607100907,0.9945,0.5419139899986529,0.988,0.5971637702675662,0.9781818181818182,0.6749347487341971,0.98,0.5859427949533332
11,0.985375,0.6912796753973834,0.969,0.7769907565446567,0.9472727272727273,0.8901835673090343,0.963,0.7612548133006984,0.994625,0.49937205810618657,0.984,0.555581931169388,0.9709090909090909,0.6339808527819091,0.98,0.5448275603761602
12,0.986375,0.6310847028909432,0.968,0.7166942308927376,0.9472727272727273,0.8277718952361799,0.964,0.7023237846627018,0.995,0.4600909539086923,0.983,0.5171459467428453,0.9709090909090909,0.5954856634668454,0.981,0.506770612368863
13,0.987125,0.5777680901942476,0.971,0.663390530609374,0.9527272727272728,0.7738298267754433,0.964,0.6502522371555419,0.995,0.4245115351919844,0.984,0.48214587148705823,0.9727272727272728,0.5608574722882055,0.981,0.4724120478325731
14,0.9875,0.5300806071616756,0.971,0.6155838347602988,0.9527272727272728,0.7254465196614824,0.965,0.6038630121439458,0.99475,0.3921931886607708,0.984,0.45024868849642596,0.9727272727272728,0.5292835362247752,0.981,0.4412741312723559
15,0.987875,0.48595698602249715,0.974,0.5713172213906378,0.9563636363636364,0.6801446449429795,0.968,0.5602800915177654,0.994625,0.3620040337168387,0.985,0.4205332319690461,0.9745454545454545,0.4996247238378056,0.981,0.41172610723392244
16,0.988625,0.4466569469081735,0.975,0.5321204854832959,0.9581818181818181,0.6399411709461417,0.968,0.5216653080228604,0.99475,0.3347411644602042,0.985,0.39389399347155757,0.9745454545454545,0.4729029167643518,0.981,0.3851522676498026
17,0.989125,0.4114393834801645,0.974,0.4967275758372238,0.9545454545454546,0.6031704402379987,0.968,0.4873445214074169,0.99475,0.3099454318536612,0.983,0.36931685694365507,0.9709090909090909,0.44785117329466073,0.981,0.3610403461150258
18,0.9895,0.3784169136855158,0.974,0.46423993260887936,0.9545454545454546,0.5695069232875597,0.969,0.4549740070142047,0.99475,0.2867440067743677,0.984,0.34663763236654926,0.9727272727272728,0.4248118657368955,0.981,0.33838079693403444
19,0.9895,0.348481533133485,0.974,0.4341851178262608,0.9545454545454546,0.5378713366448281,0.969,0.4259256201706885,0.995,0.26551145080067007,0.983,0.32564708634380335,0.9709090909090909,0.4031751594695919,0.981,0.31783823498723524
20,0.99,0.3213457731287804,0.974,0.40647270090282484,0.9545454545454546,0.5085685174914508,0.969,0.398929774493431,0.995,0.2461266996318567,0.983,0.30615976858342503,0.9709090909090909,0.38299657808062865,0.981,0.29880545710561
21,0.990375,0.29632091371148706,0.975,0.38035412007372005,0.9563636363636364,0.48004350258467,0.969,0.3737342843191558,0.995,0.2281555684934884,0.985,0.2878251273806779,0.9745454545454545,0.36347624980331583,0.98,0.28105517951302283
22,0.9905,0.27450111734141636,0.974,0.35858050100066696,0.9545454545454546,0.45714613871866183,0.969,0.3527386301215868,0.995125,0.21229592102079403,0.985,0.27214647417755355,0.9745454545454545,0.3472381118660642,0.981,0.2656777107231302
23,0.99125,0.25316304806457635,0.976,0.33590510986729677,0.9581818181818181,0.43220768292701517,0.97,0.33184605873740675,0.9955,0.1968322978557525,0.985,0.25620160583715695,0.9745454545454545,0.33014877460124786,0.981,0.2506566184501587
24,0.99175,0.2336648997025949,0.975,0.3154920695862636,0.9563636363636364,0.409440487430213,0.97,0.3124534866318356,0.9955,0.18265703697940067,0.986,0.24179367907508528,0.9763636363636363,0.3145255080513573,0.98,0.23672232094394954
25,0.992125,0.21606450454854068,0.976,0.29686424834346786,0.9581818181818181,0.38884292355109906,0.97,0.2942772304617459,0.9955,0.16976263329432228,0.987,0.22849989124599165,0.9781818181818182,0.3001090825881798,0.98,0.2237768436033431
26,0.992,0.2003584821867158,0.976,0.28006609021744966,0.9581818181818181,0.3701554468364784,0.97,0.27844218558181855,0.9955,0.1581086013016081,0.986,0.21639880524063348,0.9763636363636363,0.2869209358250034,0.98,0.2123299569913543
27,0.99275,0.1859246417518387,0.977,0.26491113725662385,0.96,0.35353424172124825,0.972,0.2641543387978022,0.9955,0.14743602448715032,0.985,0.20543388742503899,0.9745454545454545,0.2750293362425294,0.98,0.2019600352306468
28,0.993125,0.17249279307348397,0.976,0.2500782772164211,0.9581818181818181,0.33663763078799114,0.971,0.2505245981403606,0.995625,0.13751145847545151,0.985,0.19492749305418322,0.9745454545454545,0.2633823674252152,0.979,0.19209961664110203
29,0.9935,0.16042240314863665,0.978,0.2361650577979608,0.9618181818181818,0.3206491200592342,0.971,0.2381936560351552,0.99575,0.12852225136033185,0.985,0.18506979460646322,0.9745454545454545,0.2522985270793029,0.979,0.18298378853600536
