split,model,classIndex,className,precision,recall,f1,support
baselineValidation,logistic,0,Associate Data Analyst,0.8571428571428571,1.0,0.923076923076923,30
baselineValidation,logistic,1,Data Analyst,0.9354838709677419,0.7837837837837838,0.8529411764705881,37
baselineValidation,logistic,2,BI Analyst,0.9210526315789473,1.0,0.958904109589041,35
baselineValidation,logistic,3,Senior BI Analyst,0.9705882352941176,0.9428571428571428,0.9565217391304348,35
baselineValidation,logistic,4,Business Analytics Manager,1.0,1.0,1.0,27
baselineValidation,logistic,5,Business Analytics Director,1.0,1.0,1.0,26
baselineValidation,logistic,6,Chief Business Function Officer,1.0,1.0,1.0,22
baselineValidation,logistic,7,Data Quality Specialist,1.0,1.0,1.0,30
baselineValidation,logistic,8,Data Governance Manager,1.0,1.0,1.0,23
baselineValidation,logistic,9,Data Governance Officer,1.0,1.0,1.0,35
baselineValidation,logistic,10,Chief Data Officer,1.0,1.0,1.0,27
baselineValidation,logistic,11,Associate Data Engineer,1.0,0.9375,0.967741935483871,32
baselineValidation,logistic,12,Data Engineer,1.0,1.0,1.0,35
baselineValidation,logistic,13,Senior Data Engineer,1.0,1.0,1.0,31
baselineValidation,logistic,14,Data Architech,1.0,1.0,1.0,38
baselineValidation,logistic,15,Chief Data Architech,1.0,1.0,1.0,36
baselineValidation,logistic,16,Chief Information Officer,1.0,1.0,1.0,25
baselineValidation,logistic,17,Machine Learning Engineer,1.0,1.0,1.0,37
baselineValidation,logistic,18,Data Scientist,1.0,0.9767441860465116,0.988235294117647,43
baselineValidation,logistic,19,Senior Data Scientist,1.0,1.0,1.0,37
baselineValidation,logistic,20,Chief Data Scientist,1.0,1.0,1.0,27
baselineValidation,logistic,21,Chief Analytics Officer,1.0,1.0,1.0,33
baselineValidation,logistic,22,AI Engineer,0.9714285714285714,1.0,0.9855072463768115,34
baselineValidation,logistic,23,Senior AI Engineer,1.0,1.0,1.0,38
baselineValidation,logistic,24,Chief AI Engineering,0.9714285714285714,1.0,0.9855072463768115,34
baselineValidation,logistic,25,Chief Technology Officer,1.0,1.0,1.0,34
baselineValidation,logistic,26,Applied Data/AI Researcher,1.0,1.0,1.0,32
baselineValidation,logistic,27,Senior Applied Data/AI Researcher,1.0,1.0,1.0,31
baselineValidation,logistic,28,Research Manager,1.0,1.0,1.0,31
baselineValidation,logistic,29,Director of Research,1.0,1.0,1.0,35
baselineValidation,logistic,30,Chief Scientific Officer,1.0,1.0,1.0,30
baselineValidation,randomForest,0,Associate Data Analyst,0.8529411764705882,0.9666666666666667,0.90625,30
baselineValidation,randomForest,1,Data Analyst,0.96875,0.8378378378378378,0.8985507246376812,37
baselineValidation,randomForest,2,BI Analyst,1.0,1.0,1.0,35
baselineValidation,randomForest,3,Senior BI Analyst,1.0,1.0,1.0,35
baselineValidation,randomForest,4,Business Analytics Manager,1.0,1.0,1.0,27
baselineValidation,randomForest,5,Business Analytics Director,1.0,1.0,1.0,26
baselineValidation,randomForest,6,Chief Business Function Officer,1.0,1.0,1.0,22
baselineValidation,randomForest,7,Data Quality Specialist,1.0,1.0,1.0,30
baselineValidation,randomForest,8,Data Governance Manager,1.0,1.0,1.0,23
baselineValidation,randomForest,9,Data Governance Officer,1.0,1.0,1.0,35
baselineValidation,randomForest,10,Chief Data Officer,1.0,1.0,1.0,27
