split,sampleIndex,label,profileKey,careerName,representativeLevel,levelBand,pathKeys,sharedProfile,archetype,peerWeight,peerRelationship,hardTags
train,0,27,senior_applied_dataai_researcher,Senior Applied Data/AI Researcher,4,mid,applied_research,False,stretch_fit,0.17385988872349634,cross_path_neighbor,cross_path_neighbor | mixed_signal | stretch_fit
train,1,0,associate_data_analyst,Associate Data Analyst,1,low,business_intelligence | data_stewardship | data_engineering | data_science | ai_engineering | applied_research,True,strong_fit,0.2656457917171149,shared_foundation,mixed_signal | shared_foundation | shared_foundation_role
train,2,26,applied_dataai_researcher,Applied Data/AI Researcher,3,mid,applied_research,False,typical_fit,0.1408165575016645,shared_foundation,mixed_signal | shared_foundation
train,3,18,data_scientist,Data Scientist,4,mid,data_science,False,strong_fit,0.17147186480042353,same_path_adjacent,mixed_signal | same_path_adjacent
train,4,12,data_engineer,Data Engineer,3,mid,data_engineering,False,typical_fit,0.13040151614623055,cross_path_neighbor,cross_path_neighbor | mixed_signal
train,5,15,chief_data_architect,Chief Data Architech,6,high,data_engineering,False,typical_fit,0.04447678263604879,cross_path_neighbor,cross_path_neighbor | high_level_profile | strategic_profile | upper_level_typical
train,6,5,business_analytics_director,Business Analytics Director,6,high,business_intelligence,False,stretch_fit,0.05310024815651822,same_family_neighbor,high_level_profile | mixed_signal | same_family_neighbor | strategic_profile | stretch_fit
train,7,28,research_manager,Research Manager,5,mid,applied_research,False,strong_fit,0.10332277308737696,cross_path_neighbor,cross_path_neighbor | mixed_signal | strategic_profile
train,8,8,data_governance_manager,Data Governance Manager,5,mid,data_stewardship,False,typical_fit,0.14870421958094343,same_family_neighbor,mixed_signal | same_family_neighbor | strategic_profile | upper_level_typical
train,9,16,chief_information_officer,Chief Information Officer,7,high,data_engineering,False,strong_fit,0.03678209037900304,same_family_neighbor,high_level_profile | same_family_neighbor | strategic_profile
train,10,11,associate_data_engineer,Associate Data Engineer,2,low,data_engineering | data_science | ai_engineering | applied_research,True,typical_fit,0.33564667868874903,shared_foundation,mixed_signal | shared_foundation | shared_foundation_role
